Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
High Yield,CORE JAVA,I/O in Java,Byte Stream vs Character Stream,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,InputStream vs Reader,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,OutputStream vs Writer,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,"Byte Stream Classes (FileInputStream, FileOutputStream)",,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,"Character Stream Classes (FileReader, FileWriter)",,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,What is Buffering & Why is Buffering Faster?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,FileInputStream vs BufferedInputStream & FileOutputStream vs BufferedOutputStream,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,FileReader vs BufferedReader,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,BufferedReader vs Scanner,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,read() vs readLine(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,"Bridge Streams (InputStreamReader, OutputStreamWriter)",,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,flush() vs close(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Best Practice to Read a File Example,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,try-finally vs try-with-resources,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,File vs Path,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,File vs Files,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Paths.get() vs Path.of(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,createNewFile() vs mkdir(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,delete() vs deleteIfExists(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Classic I/O (IO) vs New I/O (NIO) vs NIO.2,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Stream vs Channel,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,FileChannel vs Streams,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Why is NIO Faster?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Heap Buffer vs Direct Buffer,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Explain flip() in ByteBuffer,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,"Difference between flip(), clear(), and compact()",,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,What is FileChannel?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,What is a Memory-Mapped File?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,Files.copy() vs FileChannel.transferTo(),,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,How Would You Read a 10 GB File Efficiently?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,How Would You Monitor a Directory for File Changes?,,,,,,,,,,,,
High Yield,CORE JAVA,I/O in Java,What Are Java I/O Best Practices in Production?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is Serialization?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is Deserialization?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Why do we need Serialization?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is Serializable interface?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Why is Serializable a Marker Interface?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,How do you serialize and deserialize an object? (ObjectOutputStream / ObjectInputStream),,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is transient variable?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Can static variables be serialized?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is serialVersionUID?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What happens if serialVersionUID changes?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is NotSerializableException?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What happens if an object contains another non-serializable object?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,"Parent Serializable, Child not Serializableâwhat happens?",,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,"Child Serializable, Parent not Serializableâwhat happens?",,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Custom serialization: How do writeObject() and readObject() work?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What is readResolve()?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,How does Serialization break Singleton pattern?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Difference between Serializable and Externalizable,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,What are the disadvantages of Java Serialization?,,,,,,,,,,,,
High Yield,CORE JAVA,Serialization,Why do modern applications prefer JSON/Protobuf/Kryo over Java Serialization?,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Explain JDBC Architecture,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,JDBC workflow,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Types of JDBC drivers,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,DriverManager vs Connection,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Statement vs PreparedStatement vs CallableStatement,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Why PreparedStatement prevents SQL Injection,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,executeQuery() vs executeUpdate() vs execute(),,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,What is ResultSet?,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Types of ResultSet,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,What is AutoCommit?,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Commit vs Rollback,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Savepoint,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,How transactions work,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,SQLException,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Try-with-resources,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Connection Pooling,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,HikariCP,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Batch Processing,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,DatabaseMetaData vs ResultSetMetaData,,,,,,,,,,,,
High Yield,CORE JAVA,JDBC,Best practices for writing production-quality JDBC code,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,What are Generics?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Why do we need Generics?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Real-world use of Generics in the Java Collections Framework,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Generic Class vs Generic Method,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Raw Type vs Generic Type,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Type Inference and Diamond Operator,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Why can't Generics use primitives?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Why can't we do new T()?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Why can't Generic Arrays be created?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Why is `List<Integer>` not a subtype of `List<Number>`?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,What are Bounded Type Parameters?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Multiple Bounds (T extends A & B),,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Generic Wildcards,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,`List<?>` vs `List<Object>`,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Wildcard Upper vs Lower Bounds (extends vs super),,,,,,,,,,,,
High Yield,CORE JAVA,Misc,"Explain PECS (Producer Extends, Consumer Super)",,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Generic Functional Interfaces,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,What is Type Erasure?,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Bridge Methods,,,,,,,,,,,,
High Yield,CORE JAVA,Misc,Heap Pollution,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,Explain Spring IoC container lifecycle. Bean creation flow end-to-end?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,Singleton vs Prototype vs Request vs Session scope. Production implications?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,@Autowired vs @Inject vs constructor injection. Which & why?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,Circular dependency in beans. What happens? How to fix?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,@Lazy annotation. When use? Performance implications?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,BeanPostProcessor & BeanFactoryPostProcessor. Real-world use cases?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,ApplicationContext vs BeanFactory. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,@Configuration vs @Component. Difference in bean creation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,Bean initialization: @PostConstruct vs InitializingBean vs init-method. Which preferred?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Core & DI,Bean destruction: @PreDestroy vs DisposableBean vs destroy-method. Cleanup order?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,Explain DispatcherServlet request flow end-to-end.,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,HandlerMapping vs HandlerAdapter. Roles?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,@RequestMapping vs @GetMapping vs @PostMapping. Differences?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,@RequestParam vs @PathVariable vs @RequestBody. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,@ControllerAdvice vs @RestControllerAdvice. Exception handling difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,@ExceptionHandler vs global error handling. Order of execution?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,Interceptor vs Filter. Difference? Which for authentication?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,CORS configuration. How does preflight work? Spring setup?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,Content negotiation in Spring. How does it work?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring MVC & Web,View Resolution. What happens behind ViewResolver?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Entity lifecycle: New → Managed → Detached → Removed. State transitions?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,@Transactional propagation: REQUIRED vs REQUIRES_NEW vs NESTED. Implications?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Lazy loading vs Eager loading. N+1 query problem? How to fix?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,@OneToMany vs @ManyToOne vs @ManyToMany. Cascade types when?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,orphanRemoval vs cascadeType.REMOVE. Difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Session cache vs L2 cache. What's cached? Performance gain?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,@Transactional rollback behavior. Checked vs Unchecked exceptions?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Hibernate proxy objects. Why LazyInitializationException occurs?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,@Query with native SQL vs JPQL. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Criteria API vs QueryDSL vs JPA. Performance difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Optimistic locking vs Pessimistic locking. @Version behavior?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,JPA & Hibernate,Hibernate dialect. Why needed? Custom implementation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,@Repository vs @Service. Separation of concerns?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,CrudRepository vs JpaRepository vs PagingAndSortingRepository?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,Custom repository implementation. How to add business logic to repo layer?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,@Query derivation. Complex queries—when override?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,Projections in Spring Data. Performance benefit?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,Specifications for dynamic queries. Real-world use case?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,Batch operations in Spring Data. Performance vs single inserts?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data JPA,"Auditing with @CreatedBy, @LastModifiedDate. How it works?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data MongoDB,Document storage vs Relational. When MongoDB over SQL?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data MongoDB,@Document vs @Collection. Difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data MongoDB,MongoTemplate vs MongoRepository. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data MongoDB,Aggregation pipeline in Spring Data. Performance?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data MongoDB,Indexing in MongoDB. Performance tuning?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Spring Boot auto-configuration. How does it work? @EnableAutoConfiguration?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,application.properties vs application.yml. Precedence?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Embedded server (Tomcat/Netty). Pros vs standalone WAR?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,"Actuator endpoints. Security implications? /health, /metrics usage?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Custom Actuator endpoints. How to create?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Starter dependencies. What's under the hood?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Profile-specific configuration. application-{profile}.properties logic?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,"Conditional beans: @ConditionalOnProperty, @ConditionalOnClass. Real use case?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,CommandLineRunner vs ApplicationRunner. Startup logic?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Boot,Spring Boot testing: @SpringBootTest vs @WebMvcTest vs @DataJpaTest?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,Authentication vs Authorization. Spring Security architecture?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,SecurityContextHolder & Authentication object. When populated?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,UserDetailsService vs UserDetails. Custom implementation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,PasswordEncoder. Why BCrypt? Salting mechanism?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,OAuth2 flow: Authorization Code vs Client Credentials vs Implicit. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,JWT vs Session-based authentication. Trade-offs?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,CSRF protection mechanism. How does Spring prevent it?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,CORS in Spring Security. Configuration precedence?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,SecurityFilterChain order. Custom filters—where to add?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,@PreAuthorize vs @Secured vs @RolesAllowed. Difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,Method-level security. How AOP implements it?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,OAuth2 resource server. Token validation flow?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,Refresh token rotation. Expiry strategy?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Security,HttpSession vs JWT in distributed systems. Sticky sessions?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,"Aspects, Joinpoints, Pointcuts, Advice. Terminology?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,@Aspect vs XML configuration. Which preferred?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,"Advice types: @Before, @After, @Around, @AfterReturning, @AfterThrowing. When each?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,Pointcut expressions. Complex matching scenarios?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,Proxy creation: JDK dynamic vs CGLIB. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,Weaving: compile-time vs load-time vs runtime. Spring uses which?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,AOP,AOP performance cost. Optimizations?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,@Transactional on class vs method. Inheritance behavior?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Propagation levels: REQUIRED vs REQUIRES_NEW vs NESTED. Real scenarios?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Isolation levels: READ_UNCOMMITTED vs READ_COMMITTED vs REPEATABLE_READ vs SERIALIZABLE?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,TransactionManager vs PlatformTransactionManager. Abstraction?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Declarative vs Programmatic transactions. Trade-offs?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,@Transactional(readOnly=true) optimization?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Distributed transactions: Two-phase commit? Saga pattern?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Transaction boundary problems. Service layer placement?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Transactions,Rollback behavior: when does it happen? Custom rules?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Service Discovery & Load Balancing,Eureka server vs client. Registration flow?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Service Discovery & Load Balancing,Service discovery in production. Heartbeat & eviction?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Service Discovery & Load Balancing,Client-side vs Server-side load balancing. Spring implementation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Service Discovery & Load Balancing,Ribbon & LoadBalancer. Difference? Latest recommendation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Service Discovery & Load Balancing,Service registration & discovery challenges. Consistency issues?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,API Gateway & Routing,Spring Cloud Gateway vs Zuul. Difference? Why Gateway now?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,API Gateway & Routing,Route predicates vs filters. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,API Gateway & Routing,Rate limiting & throttling at gateway. Algorithms?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,API Gateway & Routing,Path rewriting. Configuration?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,API Gateway & Routing,Global exception handling in gateway. Propagation to clients?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Config Management,Spring Cloud Config Server. Centralized configuration management?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Config Management,Profile-specific config resolution. Precedence rules?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Config Management,Config refresh: @RefreshScope vs manual restart?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Config Management,Encryption in config server. Production security?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Config Management,Config versioning & rollback strategy?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,Circuit breaker states: CLOSED vs OPEN vs HALF_OPEN. Transitions?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,Resilience4j vs Spring Retry. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,@CircuitBreaker behavior. Fallback mechanism?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,Bulkhead pattern. Thread pool isolation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,Timeout configuration. Integration with circuit breaker?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Circuit Breaker & Resilience,"Retry strategies: exponential backoff, jitter. Configuration?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Distributed Tracing,Spring Cloud Sleuth + Zipkin. Trace propagation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Distributed Tracing,Trace ID vs Span ID. Correlation across services?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Distributed Tracing,Baggage propagation. Custom fields?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Distributed Tracing,Sampling strategy. Performance implications?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Event-Driven Architecture,Spring Cloud Stream. Message binding abstraction?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Event-Driven Architecture,Kafka vs RabbitMQ bindings. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Event-Driven Architecture,Consumer groups in Stream. Scalability?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Event-Driven Architecture,Dead-letter queue handling?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Event-Driven Architecture,Error handling in async messaging. Retry vs DLQ?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,@SpringBootTest vs @WebMvcTest vs @DataJpaTest vs @RestClientTest?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,MockMvc for testing controllers. Request building & assertions?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,@MockBean vs @SpyBean. Difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,TestContainers for integration testing. Database setup?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,@DirtiesContext. When use? Performance implication?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,Parameterized tests with @ParameterizedTest.,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,Test transaction behavior. Rollback after test?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Testing,Performance testing framework integration?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Validation & Data,@Valid vs @Validated. Difference?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Validation & Data,Custom validators. ConstraintValidator implementation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Validation & Data,Validation groups. Conditional validation scenarios?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Validation & Data,@RequestParam binding. Type conversion & validation?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Validation & Data,Error handling in validation. BindingResult usage?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,"Job vs Step architecture. ItemReader, ItemProcessor, ItemWriter?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,Chunk-oriented vs Tasklet processing. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,JobRepository & Execution context. State management?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,Job scheduling with Spring Batch. Triggers?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,Error handling & recovery. Skip & retry policies?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,"Scalability: parallel steps, multi-threaded steps?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Batch,Job launcher. Restart behavior & idempotency?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Integration,Integration with external systems. Message channels?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Integration,Adapters vs Transformers vs Filters. Roles?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Integration,Error handling in integration flows. Backoff strategy?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Integration,Polling vs event-driven consumers?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,KafkaTemplate for producer. Synchronous vs asynchronous sending?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,@KafkaListener for consumers. Consumer groups?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,Partition assignment. Scaling consumers?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,Rebalancing behavior. Seek & offset management?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,Error handling. DeadLetterPublishingRecoverer?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,Transaction semantics in Kafka. Exactly-once delivery?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Kafka,Compression & batching for performance?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,RedisTemplate vs StringRedisTemplate. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,"Spring cache abstraction: @Cacheable, @CachePut, @CacheEvict?",,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Cache-aside vs write-through patterns?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Cache invalidation strategies. TTL configuration?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Redis serialization. Jackson vs Kryo?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Session storage in Redis. @EnableRedisHttpSession?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Distributed caching challenges. Cache consistency?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Redis Streams with Spring. Consumer groups?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring Data Redis,Pub/Sub vs Streams. When each?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring WebFlux & Reactive,Reactive vs Traditional MVC. When WebFlux?,,,,,,,,,,,,
High Yield,SPRING ECOSYSTEM,Spring WebFlux & Reactive,Mono vs Flux. Lazy subscription?,,,,,,,,,,,,
